City,Country,Lat,Lng,Current Temp (°F),Min Temp (°F),Max Temp (°F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date (unix)
longyearbyen,SJ,34.81,-106.73,83.59,82.4,84.2,11,1,8.05,1588029763
sola,VU,-21.21,-159.78,82.4,82.4,82.4,78,98,3.36,1588029764
mataura,PF,25.93,-105.37,87.73,87.73,87.73,9,40,12.84,1588029764
pochutla,MX,-34.42,19.23,60.04,60.04,60.04,77,42,17.58,1588029764
hambantota,LK,9.97,98.63,78.8,78.8,78.8,88,75,1.12,1588029764
atuona,PF,-21.36,55.77,70,64.99,73.4,78,90,8.05,1588029764
hoa binh,VN,-42.88,147.33,57.97,55.4,59,66,75,8.05,1588029765
busselton,AU,-17.97,122.23,84.2,84.2,84.2,83,20,5.82,1588029765
punta arenas,CL,-35.72,150.18,68,68,68,80,7,4.74,1588029766
rikitea,PF,-28.77,114.6,60.8,60.8,60.8,77,90,6.93,1588029766
barrow,US,-3.8,102.27,75.42,75.42,75.42,82,93,4.16,1588029766
chuy,UY,-34.73,135.87,63.39,63.39,63.39,61,100,15.26,1588029766
lagoa,PT,-20.52,57.52,75.2,75.2,75.2,73,75,11.41,1588029766
mahebourg,MU,-33.65,115.33,52,50,54,70,21,10.42,1588029767
xichang,CN,-23.12,-134.97,76.95,76.95,76.95,83,44,15.41,1588029767
mount isa,AU,-54.8,-68.3,44.6,44.6,44.6,75,53,21.92,1588029676
umzimvubu,ZA,19.73,-155.09,78.66,75.99,82.4,58,1,8.05,1588029768
palabuhanratu,ID,40.36,50.22,53.6,53.6,53.6,93,41,11.41,1588029768
pevek,RU,-0.6,73.08,83.75,83.75,83.75,75,100,10.16,1588029665
agogo,GH,-22.41,-44.26,63.86,63.86,63.86,79,17,1.97,1588029768
airai,PW,4.14,96.13,76.89,76.89,76.89,86,99,3.83,1588029554
pitimbu,BR,-2.02,147.27,84.88,84.88,84.88,75,93,8.55,1588029769
hermanus,ZA,69.53,31.17,28.4,28.4,28.4,74,75,13.87,1588029769
viedma,AR,-23.13,150.73,75.2,75.2,75.2,64,20,8.05,1588029770
bluff,NZ,57.05,-135.33,44.6,44.6,44.6,75,90,18.34,1588029770
nusaybin,TR,59.7,30.79,30.54,28.99,32,96,16,2.24,1588029770
saint-philippe,RE,59.38,143.3,31.68,31.68,31.68,93,15,9.89,1588029770
mar del plata,AR,20.7,-105.2,78.91,78.8,79,61,5,10.29,1588029770
sataua,WS,-35.02,117.89,55.4,55.4,55.4,66,90,11.41,1588029771
ouadda,CF,61.99,-49.67,31.64,31.64,31.64,98,97,7.81,1588029771
